shape_name,sim_size,rel_error,rel_error_Sas,chi2
cylinder,81,0.0007/0.0003,1.9990/1.9990,77814/15017
cylinder,125,0.0016/0.0007,1.9991/1.9995,5430/20024
cylinder,243,0.0108/0.0027,1.9960/1.9963,2304/599
cylinder,343,0.0119/0.0042,1.8983/1.8872,4/5
cylinder,441,0.0181/0.0070,1.8764/1.8779,4/5
cylinder,625,0.0521/nan,1.8644/1.8734,8/8
cylinder,729,0.0304/nan,1.8711/1.8530,11/10
cylinder,875,nan/nan,1.9403/1.9191,17/16
cylinder,945,nan/nan,1.9285/1.9284,21/20
hardsphere,81,0.0004/0.0002,1.5018/1.5200,57430/70669
hardsphere,125,0.0010/0.0009,1.5347/1.5678,28821/28807
hardsphere,243,0.0190/0.0029,1.5477/1.5552,10558/10131
hardsphere,343,0.0064/0.0035,1.5851/1.5583,8558/8829
hardsphere,441,0.0211/0.0100,1.5797/1.5343,11315/8215
hardsphere,625,0.0176/0.0458,1.5829/1.5195,7687/7498
hardsphere,729,0.0360/nan,1.5280/1.5333,7490/7319
hardsphere,875,nan/nan,1.5467/nan,4824/nan
hardsphere,945,nan/nan,1.5288/nan,8495/nan
sphere,81,0.0005/0.0004,1.0491/1.0380,666/639
sphere,125,0.0018/0.0007,0.8281/0.8329,271/255
sphere,243,0.0037/0.0024,0.6285/0.6387,87/115
sphere,343,0.0059/0.0029,0.9620/0.9088,138/123
sphere,441,0.0151/0.0110,0.6663/0.7132,219/169
sphere,625,0.0353/nan,0.7274/0.6876,61/82
sphere,729,0.0359/nan,0.8344/0.4904,206/72
sphere,875,nan/nan,0.7138/0.8752,92/188
sphere,945,nan/nan,0.8132/0.7049,74/46
